파일,36
사용자,30
수,12
디렉터리,12
접근,9
시스템,8
이름,7
파일 공유,7
사용,6
자료,6
정보,6
저장,6
허용,6
운영체제,5
구조,5
때,5
파일 시스템,5
대부분,4
직접 접근,4
저장 장치,4
정의,4
프로그램,4
설명,4
단계,4
데이터,4
등,4
요구,4
장치,4
기억 장치,3
파일 디렉터리,3
유저,3
위치,3
논리,3
부분,3
블록,3
일반,3
기록,3
제공,3
보조,3
특정,3
순차 접근,3
용어,2
쿼리,2
차례,2
레코드,2
자신,2
속성,2
방안,2
추가,2
구성,2
주기억 장치,2
경로,2
항목,2
공유,2
간주,2
판독,2
명,2
포인터,2
관점,2
그룹,2
형식,2
기억,2
관련,2
구현,2
호출,2
검색,2
자기 테이프,2
숫자,2
문자,2
데,2
방법,2
존재,2
작업,2
중복,2
끝,2
때문,2
과정,2
보호,2
것,1
개념,1
제한,1
라인,1
문제점,1
수용,1
매체,1
장,1
구애,1
르이,1
기법,1
내재,1
시,1
해당,1
길,1
특징,1
서로,1
규모,1
공동,1
임의 접근,1
순서,1
노력,1
정리,1
대응,1
집합,1
필요,1
중재,1
연속,1
바이트,1
적용,1
드럼,1
어려움,1
선택,1
알고리즘,1
기본,1
모델,1
편리,1
이동,1
기반,1
만족,1
고유,1
중,1
강구,1
진,1
결과,1
편성,1
관리,1
기술,1
내,1
탐색,1
해결,1
선형,1
파일시스템,1
분류,1
특성,1
할당,1
드,1
수요,1
다음,1
엔트리,1
지향,1
입장,1
쓰기,1
해시,1
권한,1
변경,1
자기 디스크,1
제약,1
임의,1
디스크 블록,1
차이,1
보조 기억 장치,1
물리,1
중심,1
소유자,1
광디스크,1
제거,1
직렬,1
지칭,1
요소,1
집합체,1
자료구조,1
사람,1
상,1
컴퓨터 시스템,1
시작,1
안,1
소유,1
생각,1
측면,1
업무,1
일련,1
연산,1
자동,1
시간,1
비트,1
온라인,1
인,1
작성,1
제어,1
자,1
자유,1
증가,1
번호,1
파일 이름,1
컴퓨터,1
색,1
실제,1
문제,1
테이프,1
프로그래머,1
단위,1
추적,1
텍스트 파일,1
단일,1
이진수,1
작성자,1
금지,1
추상화,1
방식,1
디스크,1
발전,1
파일명,1
파일 속성,1
의미,1
노출,1
이용,1
