NP, frequency, FileName
결론,2,/mnt/hgfs/share/Final_Report.pdf
크기,2,/mnt/hgfs/share/Final_Report.pdf
구성,2,/mnt/hgfs/share/Final_Report.pdf
자료,2,/mnt/hgfs/share/Final_Report.pdf
이동,2,/mnt/hgfs/share/Final_Report.pdf
메세지,2,/mnt/hgfs/share/Final_Report.pdf
정의,2,/mnt/hgfs/share/Final_Report.pdf
계속,2,/mnt/hgfs/share/Final_Report.pdf
제어,2,/mnt/hgfs/share/Final_Report.pdf
선행,2,/mnt/hgfs/share/Final_Report.pdf
절약,2,/mnt/hgfs/share/Final_Report.pdf
한정,2,/mnt/hgfs/share/Final_Report.pdf
줄,2,/mnt/hgfs/share/Final_Report.pdf
소모,2,/mnt/hgfs/share/Final_Report.pdf
직접,2,/mnt/hgfs/share/Final_Report.pdf
최적,2,/mnt/hgfs/share/Final_Report.pdf
형태,2,/mnt/hgfs/share/Final_Report.pdf
고려,2,/mnt/hgfs/share/Final_Report.pdf
모드,2,/mnt/hgfs/share/Final_Report.pdf
관련,2,/mnt/hgfs/share/Final_Report.pdf
시뮬레이터,2,/mnt/hgfs/share/Final_Report.pdf
여부,2,/mnt/hgfs/share/Final_Report.pdf
순간,2,/mnt/hgfs/share/Final_Report.pdf
파일,2,/mnt/hgfs/share/Final_Report.pdf
제기,2,/mnt/hgfs/share/Final_Report.pdf
등,2,/mnt/hgfs/share/Final_Report.pdf
상,2,/mnt/hgfs/share/Final_Report.pdf
설명,2,/mnt/hgfs/share/Final_Report.pdf
폴더,2,/mnt/hgfs/share/Final_Report.pdf
일본,2,/mnt/hgfs/share/Final_Report.pdf
허용,2,/mnt/hgfs/share/Final_Report.pdf
제공,2,/mnt/hgfs/share/Final_Report.pdf
약자,2,/mnt/hgfs/share/Final_Report.pdf
보고서,2,/mnt/hgfs/share/Final_Report.pdf
뜻,2,/mnt/hgfs/share/Final_Report.pdf
맞춤,2,/mnt/hgfs/share/Final_Report.pdf
모두,2,/mnt/hgfs/share/Final_Report.pdf
개요,2,/mnt/hgfs/share/Final_Report.pdf
요약,2,/mnt/hgfs/share/Final_Report.pdf
다음,2,/mnt/hgfs/share/Final_Report.pdf
평균,2,/mnt/hgfs/share/Final_Report.pdf
도출,2,/mnt/hgfs/share/Final_Report.pdf
방지,2,/mnt/hgfs/share/Final_Report.pdf
길이,2,/mnt/hgfs/share/Final_Report.pdf
묘사,2,/mnt/hgfs/share/Final_Report.pdf
현실,2,/mnt/hgfs/share/Final_Report.pdf
해당,2,/mnt/hgfs/share/Final_Report.pdf
일종,2,/mnt/hgfs/share/Final_Report.pdf
이용,2,/mnt/hgfs/share/Final_Report.pdf
특정,2,/mnt/hgfs/share/Final_Report.pdf
센서,2,/mnt/hgfs/share/Final_Report.pdf
자,1,/mnt/hgfs/share/Final_Report.pdf
가,1,/mnt/hgfs/share/Final_Report.pdf
자체,1,/mnt/hgfs/share/Final_Report.pdf
제한,1,/mnt/hgfs/share/Final_Report.pdf
완료,1,/mnt/hgfs/share/Final_Report.pdf
문제점,1,/mnt/hgfs/share/Final_Report.pdf
도표,1,/mnt/hgfs/share/Final_Report.pdf
급부상,1,/mnt/hgfs/share/Final_Report.pdf
최대,1,/mnt/hgfs/share/Final_Report.pdf
가정,1,/mnt/hgfs/share/Final_Report.pdf
만큼,1,/mnt/hgfs/share/Final_Report.pdf
밀접,1,/mnt/hgfs/share/Final_Report.pdf
삭제,1,/mnt/hgfs/share/Final_Report.pdf
안테나,1,/mnt/hgfs/share/Final_Report.pdf
